Company,TypeName,Inches,Ram,OS,Weight,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,Predicted_Price_euros
HP,Notebook,15.6,4,Windows 10,1.86,Standard,1366,768,No,No,No,AMD,2.5,256,0,SSD,No,AMD,415.1680333333344
HP,Notebook,17.3,8,Windows 10,2.5,Standard,1600,900,No,No,No,Intel,2.0,256,0,SSD,No,Intel,657.2192333333328
HP,Notebook,15.6,4,No OS,1.86,Standard,1366,768,No,No,No,Intel,1.6,1024,0,HDD,No,Intel,304.64122111111124
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.5,Full HD,1920,1080,Yes,Yes,No,Intel,1.6,256,0,SSD,No,Intel,1377.4438666666663
Lenovo,Ultrabook,14.0,8,Windows 10,1.17,Quad HD+,2560,1440,No,Yes,No,Intel,2.5,512,0,SSD,No,Intel,2005.9724666666666
Lenovo,Gaming,15.6,8,Windows 10,2.5,Full HD,1920,1080,No,Yes,No,Intel,2.8,128,1024,SSD,HDD,Nvidia,1156.3512746031745
Asus,Gaming,17.3,16,Windows 10,3.25,Full HD,1920,1080,No,Yes,No,AMD,3.0,256,1024,SSD,HDD,AMD,2043.042211111111
Asus,Ultrabook,12.5,16,Windows 10,0.91,Full HD,1920,1080,No,No,No,Intel,2.7,512,0,SSD,No,Intel,1906.2826666666676
Dell,Notebook,17.3,8,Windows 10,4.42,Full HD,1920,1080,No,Yes,No,Intel,2.7,1024,0,HDD,No,Nvidia,1428.8819777777776
Lenovo,Ultrabook,14.0,8,Windows 10,1.13,Full HD,1920,1080,No,Yes,No,Intel,2.7,256,0,Flash Storage,No,Intel,1657.982966666667
Razer,Ultrabook,12.5,16,Windows 10,1.29,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,2.5,512,0,SSD,No,Intel,2516.7286222222224
Lenovo,2 in 1 Convertible,15.6,8,Windows 10,2.0,Full HD,1920,1080,Yes,Yes,No,Intel,2.8,512,0,SSD,No,Nvidia,1374.2046333333333
Dell,Notebook,14.0,8,Windows 10,1.6,Standard,1366,768,No,No,No,Intel,2.5,256,0,SSD,No,Intel,856.3645999999995
